benchmark,method,best_cfg,wirelength,via_count,overflow,pareto,route_s
ispd18_test5_metal5,native_tuned,ofmode_vm1,26466600,843275,0,29839700,13.7
ispd18_test5_metal5,dgr_tuned,cls2vm1,26279895,800051,0,29480099,13.8
ispd18_test5_metal5,synth_tuned,cls2vm1,26297205,802329,0,29506521,13.9
ispd18_test8_metal5,native_tuned,cls2vm1,60524629,1979144,0,68441205,33.1
ispd18_test8_metal5,dgr_tuned,cls4vm1,60451624,1949260,0,68248664,39.1
ispd18_test8_metal5,synth_tuned,cls4vm1,60483784,1950911,0,68287428,41.2
ispd18_test10_metal5,native_tuned,cls2vm1,70450585,2081525,0,78776685,126.9
ispd18_test10_metal5,dgr_tuned,cls2vm1,70056927,2083998,0,78392919,119.0
ispd18_test10_metal5,synth_tuned,ofmode_vm1,70395481,2223895,0,79291061,126.8
ispd19_test7_metal5,native_tuned,cls4vm1,104037115,3697975,0,118829015,253.5
ispd19_test7_metal5,dgr_tuned,cls2vm1,103933990,3718230,0,118806910,223.5
ispd19_test7_metal5,synth_tuned,cls4vm1,104016775,3703704,0,118831591,74.5
ispd19_test8_metal5,native_tuned,cls2vm1_wsa1k,177315144,5826012,0,200619192,95.6
ispd19_test8_metal5,dgr_tuned,cls2vm2_wsa1k,177902934,5920535,0,201585074,101.2
ispd19_test8_metal5,synth_tuned,cls2vm1_wsa1k,176973354,5836783,0,200320486,98.6
ispd19_test9_metal5,native_tuned,cls2vm1,261024347,9625965,29,299528207,150.3
ispd19_test9_metal5,dgr_tuned,cls2vm1,260861876,9616041,28,299326040,153.9
ispd19_test9_metal5,synth_tuned,cls2vm1_wsa1k,261401066,9690429,28,300162782,154.0
