benchmark,method,cfg,wirelength,via_count,overflow
ispd18_test5_metal5,native,cls2,26421435,810498,8
ispd18_test5_metal5,native,cls4,26814795,790402,0
ispd18_test5_metal5,native,wl1,26432505,851828,6
ispd18_test5_metal5,native,cls2wl1vm1,26239110,798011,7
ispd18_test5_metal5,native,vm1_wsa1k,26578095,859828,3
ispd18_test5_metal5,dgr,cls2,26337240,813341,6
ispd18_test5_metal5,dgr,cls4,26733780,791602,15
ispd18_test5_metal5,dgr,wl1,26291595,858818,1
ispd18_test5_metal5,dgr,cls2wl1vm1,26197020,799557,0
ispd18_test5_metal5,dgr,vm1_wsa1k,26445150,868747,2
ispd18_test5_metal5,ours,default,26498940,864658,5
ispd18_test5_metal5,ours,cls2,26376120,814171,9
ispd18_test5_metal5,ours,cls4,26752590,791334,9
ispd18_test5_metal5,ours,vm1,26369925,851590,3
ispd18_test5_metal5,ours,wl1,26337795,859680,5
ispd18_test5_metal5,ours,cls2vm1,26287785,801320,0
ispd18_test5_metal5,ours,cls4vm1,26292750,789513,8
ispd18_test5_metal5,ours,cls2wl1vm1,26206530,800802,1
ispd18_test5_metal5,ours,cls2vm1_wsa1k,26401065,807502,7
ispd18_test5_metal5,ours,cls2vm2_wsa1k,26508390,820791,3
ispd18_test5_metal5,ours,vm1_wsa1k,26501295,869481,0
ispd18_test5_metal5,ours,ofmode_vm1,26388225,851670,3
ispd18_test8_metal5,native,cls2,60990904,2014251,0
ispd18_test8_metal5,native,cls4,62312869,1960110,1
ispd18_test8_metal5,native,wl1,61060129,2112955,0
ispd18_test8_metal5,native,cls2wl1vm1,60338389,1978185,0
ispd18_test8_metal5,native,vm1_wsa1k,61035949,2133975,0
ispd18_test8_metal5,dgr,cls2,60753769,2019633,0
ispd18_test8_metal5,dgr,cls4,62080309,1961557,0
ispd18_test8_metal5,dgr,wl1,60779404,2126595,0
ispd18_test8_metal5,dgr,cls2wl1vm1,60254224,1981554,0
ispd18_test8_metal5,dgr,vm1_wsa1k,60792454,2151574,0
ispd18_test8_metal5,ours,default,61097674,2138863,4
ispd18_test8_metal5,ours,cls2,60744604,2021266,0
ispd18_test8_metal5,ours,cls4,62035264,1963540,0
ispd18_test8_metal5,ours,vm1,60692299,2107611,3
ispd18_test8_metal5,ours,wl1,60815959,2127556,12
ispd18_test8_metal5,ours,cls2vm1,60424894,1985211,0
ispd18_test8_metal5,ours,cls4vm1,60495949,1950548,0
ispd18_test8_metal5,ours,cls2wl1vm1,60264709,1983733,0
ispd18_test8_metal5,ours,cls2vm1_wsa1k,60550309,2002088,0
ispd18_test8_metal5,ours,cls2vm2_wsa1k,61083019,2039646,0
ispd18_test8_metal5,ours,vm1_wsa1k,60817759,2151698,0
ispd18_test8_metal5,ours,ofmode_vm1,60784339,2107827,2
ispd18_test10_metal5,native,cls2,72349458,2127570,1
ispd18_test10_metal5,native,cls4,73328946,2071012,9
ispd18_test10_metal5,native,wl1,70230321,2232298,2
ispd18_test10_metal5,native,cls2wl1vm1,68381972,2079853,0
ispd18_test10_metal5,native,vm1_wsa1k,73151389,2254309,0
ispd18_test10_metal5,dgr,cls2,71964587,2131271,2
ispd18_test10_metal5,dgr,cls4,72926495,2072749,18
ispd18_test10_metal5,dgr,wl1,69840863,2245747,1
ispd18_test10_metal5,dgr,cls2wl1vm1,68014248,2081606,1
ispd18_test10_metal5,dgr,vm1_wsa1k,72672782,2270868,0
ispd18_test10_metal5,ours,default,72497540,2261728,4
ispd18_test10_metal5,ours,cls2,72262445,2135463,11
ispd18_test10_metal5,ours,cls4,72893994,2073595,16
ispd18_test10_metal5,ours,vm1,70327550,2220338,2
ispd18_test10_metal5,ours,wl1,69926077,2248335,13
ispd18_test10_metal5,ours,cls2vm1,70194991,2087150,0
ispd18_test10_metal5,ours,cls4vm1,70335695,2050227,9
ispd18_test10_metal5,ours,cls2wl1vm1,68039731,2084775,5
ispd18_test10_metal5,ours,cls2vm1_wsa1k,72551412,2111393,2
ispd18_test10_metal5,ours,cls2vm2_wsa1k,74601520,2162065,8
ispd18_test10_metal5,ours,vm1_wsa1k,72767447,2273079,0
ispd18_test10_metal5,ours,ofmode_vm1,70240099,2220531,1
ispd19_test7_metal5,native,cls2,104533705,3739876,0
ispd19_test7_metal5,native,cls4,104753515,3713379,1
ispd19_test7_metal5,native,wl1,104186440,3805076,1
ispd19_test7_metal5,native,cls2wl1vm1,103676035,3712910,0
ispd19_test7_metal5,native,vm1_wsa1k,104446540,3792246,0
ispd19_test7_metal5,dgr,cls2,104433310,3750900,0
ispd19_test7_metal5,dgr,cls4,104605180,3714170,0
ispd19_test7_metal5,dgr,wl1,104063770,3817512,3
ispd19_test7_metal5,dgr,cls2wl1vm1,103617235,3717733,1
ispd19_test7_metal5,dgr,vm1_wsa1k,104403640,3806196,0
ispd19_test7_metal5,ours,default,104558455,3828480,0
ispd19_test7_metal5,ours,cls2,104492365,3752318,0
ispd19_test7_metal5,ours,cls4,104654275,3714936,2
ispd19_test7_metal5,ours,vm1,104038735,3779946,0
ispd19_test7_metal5,ours,wl1,104074525,3819251,4
ispd19_test7_metal5,ours,cls2vm1,103971100,3720139,0
ispd19_test7_metal5,ours,cls4vm1,104010415,3701024,0
ispd19_test7_metal5,ours,cls2wl1vm1,103630075,3719434,0
ispd19_test7_metal5,ours,cls2vm1_wsa1k,104278375,3728935,0
ispd19_test7_metal5,ours,cls2vm2_wsa1k,105055435,3765765,0
ispd19_test7_metal5,ours,vm1_wsa1k,104383405,3808920,0
ispd19_test7_metal5,ours,ofmode_vm1,104179765,3779745,0
ispd19_test8_metal5,native,cls2,176573334,5888273,13
ispd19_test8_metal5,native,cls4,178282809,5740611,7
ispd19_test8_metal5,native,wl1,175507514,6093037,28
ispd19_test8_metal5,native,cls2wl1vm1,174537809,5793734,15
ispd19_test8_metal5,native,vm1_wsa1k,177638204,6118194,2
ispd19_test8_metal5,dgr,cls2,176220999,5887281,13
ispd19_test8_metal5,dgr,cls4,177893259,5736518,5
ispd19_test8_metal5,dgr,wl1,174847094,6118442,18
ispd19_test8_metal5,dgr,cls2wl1vm1,174263864,5786195,21
ispd19_test8_metal5,dgr,vm1_wsa1k,177013384,6151711,2
ispd19_test8_metal5,ours,default,176302839,6161989,17
ispd19_test8_metal5,ours,cls2,176147929,5894448,20
ispd19_test8_metal5,ours,cls4,177878694,5737736,16
ispd19_test8_metal5,ours,vm1,175640769,6039143,16
ispd19_test8_metal5,ours,wl1,175059349,6127358,46
ispd19_test8_metal5,ours,cls2vm1,175448864,5799095,1
ispd19_test8_metal5,ours,cls4vm1,175762499,5719686,16
ispd19_test8_metal5,ours,cls2wl1vm1,174227759,5794524,11
ispd19_test8_metal5,ours,cls2vm1_wsa1k,177058589,5828653,6
ispd19_test8_metal5,ours,cls2vm2_wsa1k,177856689,5929056,4
ispd19_test8_metal5,ours,vm1_wsa1k,177164469,6160477,6
ispd19_test8_metal5,ours,ofmode_vm1,175762449,6039495,5
ispd19_test9_metal5,native,cls2,261535316,9793088,37
ispd19_test9_metal5,native,cls4,265262276,9517325,72
ispd19_test9_metal5,native,wl1,261504263,10132906,48
ispd19_test9_metal5,native,cls2wl1vm1,260600990,9619602,41
ispd19_test9_metal5,native,vm1_wsa1k,261963221,10164560,29
ispd19_test9_metal5,dgr,cls2,261358418,9795938,34
ispd19_test9_metal5,dgr,cls4,264675704,9509158,52
ispd19_test9_metal5,dgr,wl1,261073355,10183531,50
ispd19_test9_metal5,dgr,cls2wl1vm1,260502662,9608442,51
ispd19_test9_metal5,dgr,vm1_wsa1k,261556166,10228091,28
ispd19_test9_metal5,ours,default,261714761,10255761,29
ispd19_test9_metal5,ours,cls2,261364328,9805575,43
ispd19_test9_metal5,ours,cls4,264795851,9514552,48
ispd19_test9_metal5,ours,vm1,261118475,10035955,30
ispd19_test9_metal5,ours,wl1,261208193,10195829,48
ispd19_test9_metal5,ours,cls2vm1,260843840,9628199,30
ispd19_test9_metal5,ours,cls4vm1,261159128,9486967,54
ispd19_test9_metal5,ours,cls2wl1vm1,260450660,9620085,42
ispd19_test9_metal5,ours,cls2vm1_wsa1k,261336992,9676653,28
ispd19_test9_metal5,ours,cls2vm2_wsa1k,262176023,9859763,33
ispd19_test9_metal5,ours,vm1_wsa1k,261639338,10242334,28
ispd19_test9_metal5,ours,ofmode_vm1,261525632,10036336,30
