chip,method,knob,wirelength,via_count,overflow,pareto
ispd18_test5_metal5,native,vm1,26432415,843186,4,29805159
ispd18_test5_metal5,native,cls2vm1,26313285,798489,6,29507241
ispd18_test5_metal5,native,default,26569635,856342,5,29995003
ispd18_test5_metal5,native,cls4vm1,26327715,788078,9,29480027
ispd18_test5_metal5,native,cls2vm1_wsa1k,26461305,803822,2,29676593
ispd18_test5_metal5,native,cls2vm2_wsa1k,26595780,816774,9,29862876
ispd18_test5_metal5,native,ofmode_vm1,26466600,843275,0,29839700
ispd18_test5_metal5,dgr,default,26432520,863898,7,29888112
ispd18_test5_metal5,dgr,cls2vm1,26279895,800051,0,29480099
ispd18_test5_metal5,dgr,vm1,26307585,850388,4,29709137
ispd18_test5_metal5,dgr,cls2vm1_wsa1k,26422575,806170,6,29647255
ispd18_test5_metal5,dgr,cls4vm1,26291910,789492,6,29449878
ispd18_test5_metal5,dgr,cls2vm2_wsa1k,26505315,819638,4,29783867
ispd18_test5_metal5,dgr,ofmode_vm1,26320425,850409,0,29722061
ispd18_test5_metal5,synth,default,26501445,864715,5,29960305
ispd18_test5_metal5,synth,cls2vm1,26290875,801761,0,29497919
ispd18_test5_metal5,synth,vm1,26386080,851522,4,29792168
ispd18_test5_metal5,synth,cls2vm1_wsa1k,26424960,807876,2,29656464
ispd18_test5_metal5,synth,cls4vm1,26297190,789659,9,29455826
ispd18_test5_metal5,synth,cls2vm2_wsa1k,26535780,821331,4,29821104
ispd18_test5_metal5,synth_orig,cls2vm1_wsa1k,26448495,805624,9,29670991
ispd18_test5_metal5,synth_orig,cls2vm1,26287275,799808,2,29486507
ispd18_test5_metal5,synth_orig,default,26425905,862544,3,29876081
ispd18_test5_metal5,synth_orig,vm1,26329530,849034,3,29725666
ispd18_test5_metal5,synth_orig,ofmode_vm1,26339430,849129,3,29735946
ispd18_test5_metal5,synth_orig,cls2vm2_wsa1k,26533575,819204,6,29810391
ispd18_test5_metal5,synth,ofmode_vm1,26403345,851580,4,29809665
ispd18_test5_metal5,synth_orig,cls4vm1,26323005,789226,7,29479909
ispd18_test5_metal5,cross,vm1,26374710,851304,3,29779926
ispd18_test5_metal5,cross,cls2vm1,26301840,801119,4,29506316
ispd18_test5_metal5,cross,default,26528055,864694,4,29986831
ispd18_test5_metal5,cross,ofmode_vm1,26396190,851392,3,29801758
ispd18_test5_metal5,cross,cls2vm2_wsa1k,26586450,820870,6,29869930
ispd18_test5_metal5,cross,cls2vm1_wsa1k,26432370,807160,5,29661010
ispd18_test5_metal5,cross,cls4vm1,26298570,789288,7,29455722
ispd18_test8_metal5,native,default,61307179,2122848,0,69798571
ispd18_test8_metal5,native,vm1,60835249,2091546,0,69201433
ispd18_test8_metal5,native,cls2vm1,60524629,1979144,0,68441205
ispd18_test8_metal5,native,cls2vm1_wsa1k,60796789,1994541,0,68774953
ispd18_test8_metal5,native,ofmode_vm1,61002844,2092274,4,69371940
ispd18_test8_metal5,native,cls2vm2_wsa1k,61309009,2031493,0,69434981
ispd18_test8_metal5,dgr,default,61187719,2138206,0,69740543
ispd18_test8_metal5,native,cls4vm1,60681289,1947680,0,68472009
ispd18_test8_metal5,dgr,cls2vm1,60413314,1982934,6,68345050
ispd18_test8_metal5,dgr,cls2vm1_wsa1k,60526864,1999685,0,68525604
ispd18_test8_metal5,dgr,vm1,60624244,2106612,0,69050692
ispd18_test8_metal5,dgr,ofmode_vm1,60661399,2106743,0,69088371
ispd18_test8_metal5,dgr,cls4vm1,60451624,1949260,0,68248664
ispd18_test8_metal5,dgr,cls2vm2_wsa1k,61020169,2037166,4,69168833
ispd18_test8_metal5,synth,cls2vm1,60432544,1984936,0,68372288
ispd18_test8_metal5,synth,default,61149049,2139696,0,69707833
ispd18_test8_metal5,synth,vm1,60717724,2108527,4,69151832
ispd18_test8_metal5,synth,cls2vm1_wsa1k,60613564,2002058,0,68621796
ispd18_test8_metal5,synth,cls4vm1,60469054,1949944,0,68268830
ispd18_test8_metal5,synth_orig,cls2vm1,60448219,1981998,0,68376211
ispd18_test8_metal5,synth_orig,default,61065004,2135266,0,69606068
ispd18_test8_metal5,synth,ofmode_vm1,60801529,2108928,0,69237241
